route,reviewer,reviewedAt,scope,notes
"/directories/costs-timing/","","","人工核对各州费用、付款方式、临时凭证和寄送时间，并确认正文提示与所列政府来源一致。","现有人工签字对应的目录内容指纹与当前构建不一致。请对照当前正文重新打开逐条政府来源核对；发现问题先退回修改，完成当前版本核对后再填写新签字。"
"/directories/deadlines/","","","人工核对地址变更、新居民转入、续期和材料时效等期限，并检查适用范围和例外提示。","现有人工签字对应的目录内容指纹与当前构建不一致。请对照当前正文重新打开逐条政府来源核对；发现问题先退回修改，完成当前版本核对后再填写新签字。"
"/directories/document-rules/","","","人工核对身份、住址、姓名链、原件和认证副本要求，以及不同州规则之间的边界。","现有人工签字对应的目录内容指纹与当前构建不一致。请对照当前正文重新打开逐条政府来源核对；发现问题先退回修改，完成当前版本核对后再填写新签字。"
"/directories/foreign-license/","","","人工核对外国驾照、外州驾照、IDP、互惠免试、翻译和交旧证提示及其政府来源。","本页已进入 30 天易变规则复核窗口。请重新打开页面所列政府来源，记录规则是否变化；若有变化，先退回修改，再对修改后的内容签字。"
"/directories/identity-ssn/","","","人工核对 SSN、无 SSN、ITIN、合法身份和临时访客分流，确认页面没有替读者判断移民身份。","现有人工签字对应的目录内容指纹与当前构建不一致。请对照当前正文重新打开逐条政府来源核对；发现问题先退回修改，完成当前版本核对后再填写新签字。"
"/topics/gift-inherited-vehicle-title-transfer/","","","人工核对赠与、继承、共同车主、遗产、税费、留置权和车辆所有权转移要求。","现有人工签字日期为 2026-07-21，早于当前内容版本 2026-07-24。请对照当前正文重新打开逐条政府来源核对；发现问题先退回修改，完成当前版本核对后再填写新签字。"
"/topics/lost-vehicle-title-replacement-electronic-title-lien-sale/","","","人工核对遗失车辆所有权证、电子 title、留置权、补发和出售前处理要求。","现有人工签字日期为 2026-07-21，早于当前内容版本 2026-07-24。请对照当前正文重新打开逐条政府来源核对；发现问题先退回修改，完成当前版本核对后再填写新签字。"
"/topics/name-change-chain/","","","人工核对姓名变更、SSA 同步、身份文件衔接、翻译和各机构办理顺序。","现有人工签字日期为 2026-07-21，早于当前内容版本 2026-07-24。请对照当前正文重新打开逐条政府来源核对；发现问题先退回修改，完成当前版本核对后再填写新签字。"
"/topics/older-driver-license-renewal-medical-review/","","","人工核对高龄驾驶人续期、视力检查、医疗复核、家属报告和驾驶限制。","本页已进入 30 天易变规则复核窗口。请重新打开页面所列政府来源，记录规则是否变化；若有变化，先退回修改，再对修改后的内容签字。"
"/topics/tickets-tolls-insurance-lapse-registration-hold/","","","人工核对罚单、收费公路、保险中断、车辆登记限制及不同机构的处理顺序。","现有人工签字日期为 2026-07-21，早于当前内容版本 2026-07-29。请对照当前正文重新打开逐条政府来源核对；发现问题先退回修改，完成当前版本核对后再填写新签字。"
