"route","pageType","risk","priority","score","reviewStatus","reviewMethod","reviewedAt","reviewDue","overdueDays","action","expectedOutcome","reviewer","notes"
"/","collection","standard","P3","93","ai-assisted","ai-assisted","2026-07-18","2026-11-15","0","observation","每月复核一次","Codex AI 辅助结构复核","该页面已接入可追踪版本，完成规则结构核对与入口映射；高风险页面仍需安排真实人工语义签字。"
"/about/","trust","policy","P3","98","not-required","","","2026-07-21","0","observation","每月复核一次","",""
"/ai-policy/","trust","policy","P3","98","not-required","","","2026-07-21","0","observation","每月复核一次","",""
"/authors/editorial-team/","trust","policy","P3","98","not-required","","","2026-07-21","0","observation","每月复核一次","",""
"/contact/","trust","policy","P3","98","not-required","","","2026-07-21","0","observation","每月复核一次","",""
"/corrections/","trust","policy","P3","98","not-required","","","2026-07-21","0","observation","每月复核一次","",""
"/directories/","collection","standard","P3","93","ai-assisted","ai-assisted","2026-07-18","2026-11-15","0","observation","每月复核一次","Codex AI 辅助结构复核","该页面已接入可追踪版本，完成规则结构核对与入口映射；高风险页面仍需安排真实人工语义签字。"
"/directories/appointments/","directory","standard","P1","97","source-mapped","automated","2026-07-18","2026-07-21","0","semantic-review","完成显式语义核对后升级为 ai-assisted","站内证据映射审计","目录已通过官方入口、主题匹配与成品 HTML 审计；尚无逐条正文比对记录的页面保持自动来源映射状态。"
"/directories/costs-timing/","directory","high","P0","98","ai-assisted","ai-assisted","2026-07-17","2026-09-15","0","human-signoff","人工签字后恢复页面发布通道","Codex AI 辅助证据核查","目录只显示能够匹配到州级官方费用、处理、续期或补证页面的具体提示；仍待人工签字。"
"/directories/deadlines/","directory","high","P0","98","ai-assisted","ai-assisted","2026-07-17","2026-09-15","0","human-signoff","人工签字后恢复页面发布通道","Codex AI 辅助证据核查","无法绑定到对应政府入口的具体期限不作为已核实事实显示；仍待人工签字。"
"/directories/dmv-services/","directory","standard","P1","92","source-mapped","automated","2026-07-18","2026-07-21","0","semantic-review","完成显式语义核对后升级为 ai-assisted","站内证据映射审计","目录已通过官方入口、主题匹配与成品 HTML 审计；尚无逐条正文比对记录的页面保持自动来源映射状态。"
"/directories/document-rules/","directory","high","P0","98","ai-assisted","ai-assisted","2026-07-17","2026-09-15","0","human-signoff","人工签字后恢复页面发布通道","Codex AI 辅助证据核查","具体材料提示现在直接链接到最相关的州政府清单或身份要求页面；仍待人工签字。"
"/directories/foreign-license/","directory","high","P0","98","ai-assisted","ai-assisted","2026-07-17","2026-09-15","0","human-signoff","人工签字后恢复页面发布通道","Codex AI 辅助证据核查","“能驾驶”和“可直接换证”继续分开表达，无法找到对应 transfer/foreign-license 来源的具体提示不会展示；仍待人工签字。"
"/directories/identity-ssn/","directory","high","P0","98","ai-assisted","ai-assisted","2026-07-17","2026-09-15","0","human-signoff","人工签字后恢复页面发布通道","Codex AI 辅助证据核查","目录不判断移民身份，仅显示可映射到州政府身份或材料页面的分流提示；仍待人工签字。"
"/directories/language-access/","directory","standard","P1","97","source-mapped","automated","2026-07-18","2026-07-21","0","semantic-review","完成显式语义核对后升级为 ai-assisted","站内证据映射审计","目录已通过官方入口、主题匹配与成品 HTML 审计；尚无逐条正文比对记录的页面保持自动来源映射状态。"
"/directories/new-residents/","directory","standard","P1","97","source-mapped","automated","2026-07-18","2026-07-21","0","semantic-review","完成显式语义核对后升级为 ai-assisted","站内证据映射审计","目录已通过官方入口、主题匹配与成品 HTML 审计；尚无逐条正文比对记录的页面保持自动来源映射状态。"
"/directories/real-id/","directory","standard","P1","92","source-mapped","automated","2026-07-18","2026-07-21","0","semantic-review","完成显式语义核对后升级为 ai-assisted","站内证据映射审计","目录已通过官方入口、主题匹配与成品 HTML 审计；尚无逐条正文比对记录的页面保持自动来源映射状态。"
